id_interno,nombre,codigo_barra,principio_activo,concentracion,tamano,forma_farmaceutica,laboratorio,categoria,market_type,unidad_negocio
140475,MONTELUKAST,,,10MG,30 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140476,MONTELUKAST,,,5MG,30 unidades,Tabletas masticables,LA SANTE,Otros,GENERICO,La Sante
140488,MONUKAST,,,5 MG,30 unidades,Tabletas masticables,LA SANTE,Otros,MARCA,Pharmetique
140489,MOXIFLOXACINO VZL,,,400 MG,7 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140495,NOGINOX VAG APLI,,,1%,40 g,Crema,LA SANTE,Otros,MARCA,Pharmetique
140499,OMEPRAZOL,,,20 MG,30 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140501,OMEPRAZOL,,,20 MG,8 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140505,PIROXICAM,,,20 MG,10 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140518,SERTRALINA VZL,,,50 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140526,SILDENAFIL,,,50 MG,1 unidad,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140559,TIOCOLFEN,,,600 MG - 4 MG,15 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140565,TRIPUR,,,80MG-400MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140568,VALSARTAN-HCTZ VZL,,,80-12.5MG,14 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140570,VALSARTAN VZL,,,80 MG,14 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140579,XEROGRAX,,,120 MG,30 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
140621,IBUPROFENO,,,800 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
141167,NITAZOXANIDA VZL,,,500MG,6 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
141799,ANALPER FEM PLUS PHARMETIQUE LABS,,,,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,OTC
141806,BROXOL AD SIN AZÃšCAR SIN ALCOHOL,,,210MG/15ML,120 ml,Jarabe,LA SANTE,Otros,GENERICO,OTC
141807,BROXOL TOS PED S/AZUC,,,,120 ml,Jarabe,LA SANTE,Otros,GENERICO,OTC
141829,BETAHISTINA,,,16 MG,20 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142358,IRBESARTAN,,,150 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142361,IRBESARTAN,,,150 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142362,IRBESARTAN,,,300 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142635,ROSUVASTATINA,,,10 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142637,ROSUVASTATINA,,,20 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142639,DICLOFENAC POTASICO,,,50 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142640,DICLOFENAC POTASICO,,,50 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142670,FLUDIL,,,10 MG,40 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
142675,CARVEDILOL VZL,,,6.25 MG,30 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
142677,CARVEDILOL VZL,,,12.5 MG,30 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
142682,HEDRALIV EXTRACTO HEDERA HELIX LA SANTE,,,120ML,120 ml,Jarabe,PHARMETIQUELABS,Otros,MARCA,La Sante
142730,DESLER M,,,5MG - 10MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
142732,DESLER M PED,,,1.25MG-4MG,30 unidades,Granulado,LA SANTE,Otros,MARCA,Pharmetique
142741,LEVOCETIRIZINA,,,5 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142748,ACETAMINOFEN,,,150MG/5ML,120 ml,Jarabe,LA SANTE,Otros,GENERICO,La Sante
142784,ANALPER FORTE PHARMETIQUE LABS,,,,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,OTC
142785,ANALPER NAX PHARMETIQUE LABS,,,,10 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,OTC
142786,ANALPER PLUS,,,500 MG,10 unidad,Tabletas,PHARMETIQUELABS,Otros,MARCA,La Sante
142789,ESOZ,,,20 MG,14 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
142790,ESOZ,,,20 MG,28 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
142791,ESOZ,,,40 MG,14 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
142792,ESOZ,,,40 MG,28 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
142905,DIOSMINA-HESPERIDINA,,,450-50 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
142941,DESLER M,,,2.5 MG - 5 MG,30 unidades,Tabletas masticables,LA SANTE,Otros,MARCA,Pharmetique
